WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
12:55:57.707 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/TorrentsActivity_; a line coverage of: 21.23056%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/DetailsFragment$1$$ExternalSyntheticOutline0; a line coverage of: 42.24138%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/TorrentsActivity_$1; a line coverage of: 4.347826%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/settings/PreferenceCompatActivity; a line coverage of: 46.42857%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/TorrentsFragment$1; a line coverage of: 0.9803922%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/lists/ViewHolderAdapter; a line coverage of: 69.69697%
12:55:57.709 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/TorrentsActivity; a line coverage of: 20.102041%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/lists/TorrentsAdapter_; a line coverage of: 3.4615386%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/ServerPickerDialog$$ExternalSyntheticLambda1; a line coverage of: 0.5502063%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/search/SearchHistoryProvider; a line coverage of: 100.0%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/settings/PreferenceCompatActivity$RootPreferencesFragment; a line coverage of: 75.0%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/settings/MainSettingsActivity_; a line coverage of: 40.50633%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/navigation/FilterListItemView_; a line coverage of: 100.0%
12:55:57.710 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lorg/transdroid/core/gui/settings/MainSettingsActivity_$IntentBuilder_; a line coverage of: 89.47369%
