WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
14:48:18.460 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$a; a line coverage of: 100.0%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$LocalDateAdapter; a line coverage of: 7.1428576%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$c; a line coverage of: 23.076923%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$b; a line coverage of: 6.818182%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a line coverage of: 21.393036%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner$a; a line coverage of: 18.181818%
14:48:18.462 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a line coverage of: 49.25094%
14:48:18.463 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$RatesAdapter; a line coverage of: 2.9761906%
14:48:18.463 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$b; a line coverage of: 52.941177%
14:48:18.463 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a line coverage of: 33.082706%
14:48:18.463 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a line coverage of: 69.620255%
14:48:18.463 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$a; a line coverage of: 6.818182%
14:48:18.464 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a branch coverage of: 7.692308%
14:48:18.464 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a branch coverage of: 30.000002%
14:48:18.464 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a branch coverage of: 12.5%
14:48:18.464 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a branch coverage of: 30.049261%
14:48:18.465 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total line coverage: 19.05850091407678%
14:48:18.466 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total branch coverage: 10.359712230215827%
