WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
14:37:39.745 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$a; a line coverage of: 100.0%
14:37:39.747 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$LocalDateAdapter; a line coverage of: 7.1428576%
14:37:39.747 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$c; a line coverage of: 23.076923%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$b; a line coverage of: 6.818182%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a line coverage of: 21.393036%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner$a; a line coverage of: 18.181818%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a line coverage of: 43.258427%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$RatesAdapter; a line coverage of: 2.9761906%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$b; a line coverage of: 52.941177%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a line coverage of: 63.909775%
14:37:39.748 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a line coverage of: 69.620255%
14:37:39.749 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$a; a line coverage of: 6.818182%
14:37:39.749 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a branch coverage of: 46.153847%
14:37:39.749 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a branch coverage of: 30.000002%
14:37:39.749 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a branch coverage of: 12.5%
14:37:39.749 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a branch coverage of: 23.15271%
14:37:39.750 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total line coverage: 18.53290676416819%
14:37:39.751 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total branch coverage: 9.784172661870503%
