WARNING: sun.reflect.Reflection.getCallerClass is not supported. This will impact performance.
14:06:03.674 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$a; a line coverage of: 100.0%
14:06:03.675 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$LocalDateAdapter; a line coverage of: 7.1428576%
14:06:03.675 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$c; a line coverage of: 23.076923%
14:06:03.675 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$b; a line coverage of: 6.818182%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a line coverage of: 21.393036%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner$a; a line coverage of: 18.181818%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a line coverage of: 46.254684%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$RatesAdapter; a line coverage of: 2.9761906%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService$b; a line coverage of: 52.941177%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a line coverage of: 33.082706%
14:06:03.676 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a line coverage of: 69.620255%
14:06:03.677 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity$a; a line coverage of: 6.818182%
14:06:03.677 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/spinner/SearchableSpinner; a branch coverage of: 7.692308%
14:06:03.677 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/model/ExchangeRatesJsonAdapter; a branch coverage of: 30.000002%
14:06:03.677 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/repository/ExchangeRatesService; a branch coverage of: 12.5%
14:06:03.677 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - We have for the class Lde/salomax/currencies/view/main/MainActivity; a branch coverage of: 27.093596%
14:06:03.678 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total line coverage: 18.327239488117%
14:06:03.679 [main] INFO  de.uni_passau.fim.auermich.basicblockcoverage_evaluation.BasicBlockCoverageEvaluation - Total branch coverage: 9.496402877697841%
